Zip Code,Grocery Store Count
63141,5
63108,4
63118,4
63017,4
63116,3
63144,3
63122,2
63131,2
63104,2
63139,2
63301,2
63368,2
62208,2
63303,1
63130,1
63128,1
63124,1
63376,1
63119,1
62002,1
63115,1
63117,1
62025,1
63113,1
63111,1
63110,1
63109,1
63105,1
63101,1
63043,1
63026,1
62254,1
62243,1
62234,1
62088,1
63389,1
